"Ejercicio";"Diferencia";"PDF";"App"
"COORDINACIÓN RÍTMICA EN PARES (llamado también “Caminar en pares”)";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"SINCRONIZACIÓN RÍTMICA EN PARES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"SINCRONIZACIÓN MELÓDICA EN PARES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA EN FEEDBACK EN PARES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA EN PARES CON RITMOS TROPICALES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"LIBERACIÓN DEL MOVIMIENTO";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA RÍTMICA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA  RÍTMICA CON MOVIMIENTOS PERIFÉRICOS";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA RÍTMICA CON MOVIMIENTOS CENTRALES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA RÍTMICA CON BATUCADA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"BATUCADA CON GRITO";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"SALTO SINÉRGICO";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"VARIACIONES  RÍTMICAS";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DEL CABALLO";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DESPLAZAMIENTO CON  LEVEDAD";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA  CREATIVA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE ROMPER ESQUEMAS (o ""fuera de los modelos establecidos"")";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA EN EL CENTRO DE LA RONDA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA CON INTENSIDAD";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA RÍTMICA EXPRESIVA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE EXPRESIVIDAD";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"INTERPRETACIÓN DE LA MELODÍA (o ""Danza expresiva melódica"")";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE EXPRESIÓN AFECTIVA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA CREATIVA EN PARES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA CREATIVA TEMÁTICA EN GRUPO";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZAR PARA EL OTRO";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE SEDUCCIÓN";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE SEDUCCIÓN DE LAS MUJERES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE SEDUCCIÓN DE LOS HOMBRES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE EXTENSIÓN MÁXIMA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE EXTENSIÓN ARMÓNICA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"ELASTICIDAD INTEGRATIVA";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"DANZA DE BRAZOS SENSIBLES";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"RADICALIZACIÓN DE LA VIVENCIA MUSICAL (Mediumnidad musical)";"grupo distinto";"LOS JUEGOS";"DANZAS VARIAS"
"MOVIMIENTO SEGMENTARIO DE CUELLO DE A DOS";"grupo distinto";"MOVIMIENTOS SEGMENTARIOS COMPARTIDOS";"MOVIMIENTOS SEGMENTARIOS"
"DANZA DE LAS TRANSFORMACIONES Y EL MITO DE SHIVA";"grupo distinto";"DANZAS DE SHIVA, DE VISHNU Y DE BRAHMA";"DANZAS DE SHIVA DE VISHNU Y DE BRAHMA"
"DANZA DE LA CONSERVACIÓN Y EL MITO DE VISHNU";"grupo distinto";"DANZAS DE SHIVA, DE VISHNU Y DE BRAHMA";"DANZAS DE SHIVA DE VISHNU Y DE BRAHMA"
"DANZA DE BRAHMA";"grupo distinto";"DANZAS DE SHIVA, DE VISHNU Y DE BRAHMA";"DANZAS DE SHIVA DE VISHNU Y DE BRAHMA"
"POESÍA-CANCIÓN";"grupo distinto";"EJERCICIOS SIN MÚSICA";"PROCEDIMIENTOS DE FACILITACIÓN"
