"Clave";"Título PDF";"Artista PDF";"Título Excel";"Intérprete Excel";"Carpeta Excel";"Similitud"
"01:21";"Air (on the G-string) - Orchester-Suite 3 D- Dur - 2, BWV 1068";"Bach, Johann Sebastian (1685-1750)";"Aria della corda sol";"J S Bach";"IBF01- RONDAS DE INICIO";"0.00"
"07:21";"An der schönen blauen Donau [Part], op.314";"Strauss II, Johann (1825-1899)";"Danubio blue J";"Strauss";"IBF07- Ritmo Sinergismo Desplazamiento con levedad";"0.00"
"20:01";"Ay Fond Kiss";"Fairground Attraction";"When you smile";"Roberto Flack";"IBF20 Complementario II";"0.00"
"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"Photograps";"N Mouskori";"IBF11-Ronda mirada,mecimiento acariciamento Afectividad";"0.00"
"19:15";"Vidala del cuculí";"Cumbo, Jorge / Vitale, Lito / González, Lucho";"Learnin’ the blues";"Katie Melua";"IBF19 Complementario 1";"0.00"
"02:23";"Redescobrir";"Regina, Elis";"Redescubrir";"E Regina";"IBF02- RONDA DE ACT LENTA";"0.00"
"05:11";"Fava de Cheiro";"Sivuca";"Queixo de cobra";"Sivuca";"IBF05-D Ritmos tropicales rondas";"0.00"
"05:12";"O Baile de Bio Laurinda";"Sivuca";"Fava de cheiro";"Sivuca";"IBF05-D Ritmos tropicales rondas";"0.00"
"03:20";"Hallelujah - Messiah, HWV 56 - Part II/42";"Haendel, Georg Friedrich (1685-1759)";"Aleluya";"Haendel";"IBF03- RONDAS FINALES";"0.00"
"06:06";"The Man I Love";"Antigua Jazz Band";"El hombre que yo amo";"Jazz Caliente";"IBF06- Coordinación Sincronización Rit en pareja";"0.00"
"19:14";"This Girl's In Love With You";"Fitzgerald, Ella";"Call off the search";"Katie Melua";"IBF19 Complementario 1";"0.00"
"06:16";"Japanese Sandman";"Maddox, Johnny";"Arenero Japonés";"J Maddox";"IBF06- Coordinación Sincronización Rit en pareja";"0.00"
"20:02";"Yellow Submarine";"The Beatles";"Hello goodbye";"The Beatles";"IBF20 Complementario II";"0.00"
"05:07";"O Encanto do Gantois";"Carvalho, Beth";"Eu vou";"Beth Carvalho";"IBF05-D Ritmos tropicales rondas";"0.00"
"05:19";"Rodopiou";"Pereira, Nazaré";"Forró Veloce";"N. Pereira";"IBF05-D Ritmos tropicales rondas";"0.00"
"20:03";"All Together Now";"The Beatles";"When the saints go marching in";"Mahalia Jackson";"IBF20 Complementario II";"0.00"
"20:04";"With A Little Help From My Friends";"The Beatles";"Dialogo del Viento y del Mar";"C. Debussy";"IBF20 Complementario II";"0.00"
"20:09";"All Of Me (live)";"Fygi, Laura";"Zorba’s dance";"M. Theodorakis";"IBF20 Complementario II";"0.00"
"06:14";"Ja-Da";"The New Orleans Banjo Band";"Ja-Da";"The New Orleans Banjo Band";"IBF06- Coordinación Sincronización Rit en pareja";"0.00"
"08:03";"L-O-V-E";"Cole, Natalie";"L-O-V-E";"Cole, Natalie";"IBF08 -Extensión arm, máx Elasticidad  Expresividad";"0.00"
"20:16";"My Aphrodisiac Is You";"Melua, Katie";"Danadinho danado";"Simone";"IBF20 Complementario II";"0.00"
"20:15";"Learnin' The Blues";"Melua, Katie";"O amanhà";"Simona";"IBF20 Complementario II";"0.00"
"05:08";"Valente Nordeste";"Pereira, Nazaré";"Forro Medio";"N. Pereira";"IBF05-D Ritmos tropicales rondas";"0.00"
