"Ejercicio";"Diferencia";"Clave CD:pista";"Título (PDF o Excel)";"Artista";"Nota"
"RONDA DE INICIACIÓN (o RONDA DE INTEGRACIÓN INICIAL)";"falta en la app";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"la clave NO existe en el Excel (CD 21)"
"RONDA ""CIRANDA""";"falta en la app";"05:23";"Vem ca Toinho (Ciranda no Patio)";"Neri, Antonio";"la clave NO existe en el Excel (CD 05)"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:16";"Aquarela do Brasil";"Santiago, Emílio";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:01";"Bate Coraçao";"Ramalho, Elba";"la clave NO existe en el Excel (CD 05)"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:21";"Batuque";"Mercury, Daniela";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:06";"Behind That Locked Door";"Harrison, George";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:08";"Canta, Canta minha gente";"da Vila, Martinho";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:05";"Canto do Povo de um lugar";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:12";"Coisa de Pele";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:06";"Coisa mais linda";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:09";"Conto de Areia";"Nunes, Clara";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:04";"Coqueiro de Itapoã";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:09";"Eu quero mais";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:13";"Eu quero meu amor";"Ramalho, Elba";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"12:01";"Eu sei que vou te amar";"de Moraes-Creuza-Toquinho";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:11";"Fava de Cheiro";"Sivuca";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:10";"Feira de Mangaio";"Nunes, Clara";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:14";"Fim de Reinado (ao vivo)";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:10";"Folhas secas (ao vivo)";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:07";"Força da imaginação";"Carvalho, Beth";"la clave NO existe en el Excel (CD 04)"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:08";"Here Comes The Sun";"The Beatles";"la clave NO existe en el Excel (CD 01)"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:07";"I'd Have You Anytime";"Harrison, George";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:15";"Isto Aqui O Que É/É";"Santiago, Emílio";"la clave NO existe en el Excel (CD 04)"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:06";"Juizio final";"Nunes, Clara";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:02";"Lenda das Sereias, Rainha do Mar";"Monte, Marisa";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:02";"Let It Be";"The Beatles";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:22";"Meu Sapato Já Furou";"Nunes, Clara";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:07";"My Sweet Lord";"Harrison, George";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"14:05";"Nada por mim/Fullgás";"Santiago, Emílio";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:15";"Não Enche";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:12";"O Baile de Bio Laurinda";"Sivuca";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:13";"O mar Serenou";"Nunes, Clara";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:16";"O qué é O qué é?";"Gonzaguinha";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:03";"Olho por Olho";"Carvalho, Beth";"la clave existe en el Excel"
