"Ejercicio";"Clave PDF";"Título";"Artista";"Motivo"
"RONDA DE INICIACIÓN (o RONDA DE INTEGRACIÓN INICIAL)";"01:21";"Air (on the G-string) - Orchester-Suite 3 D- Dur - 2, BWV 1068";"Bach, Johann Sebastian (1685-1750)";"en el disco 01:21 hay otra canción: Aria della corda sol"
"RONDA DE INICIACIÓN (o RONDA DE INTEGRACIÓN INICIAL)";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"no existe en el disco (CD 21)"
"RONDA ""CIRANDA""";"05:23";"Vem ca Toinho (Ciranda no Patio)";"Neri, Antonio";"no existe en el disco (CD 05)"
"RONDAS CONCÉNTRICAS DE MIRADAS";"01:21";"Air (on the G-string) - Orchester-Suite 3 D- Dur - 2, BWV 1068";"Bach, Johann Sebastian (1685-1750)";"en el disco 01:21 hay otra canción: Aria della corda sol"
"RONDA DE MECIMIENTO";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"RONDA DE MECIMIENTO CON ACERCAMIENTO Y CONTACTOS (Ronda de comunión)";"19:15";"Vidala del cuculí";"Cumbo, Jorge / Vitale, Lito / González, Lucho";"en el disco 19:15 hay otra canción: Learnin’ the blues"
"RONDA DE ACTIVACIÓN";"05:01";"Bate Coraçao";"Ramalho, Elba";"no existe en el disco (CD 05)"
"RONDA DE ACTIVACIÓN";"04:07";"Força da imaginação";"Carvalho, Beth";"no existe en el disco (CD 04)"
"RONDA DE ACTIVACIÓN";"01:08";"Here Comes The Sun";"The Beatles";"no existe en el disco (CD 01)"
"RONDA DE ACTIVACIÓN";"04:15";"Isto Aqui O Que É/É";"Santiago, Emílio";"no existe en el disco (CD 04)"
"RONDA DE ACTIVACIÓN";"05:12";"O Baile de Bio Laurinda";"Sivuca";"en el disco 05:12 hay otra canción: Fava de cheiro"
"RONDA DE ACTIVACIÓN";"04:05";"Senhora rezadeira";"Carvalho, Beth";"no existe en el disco (CD 04)"
"RONDA DE ACTIVACIÓN";"03:08";"Sing";"Carpenters";"no existe en el disco (CD 03)"
"RONDA DE ACTIVACIÓN";"03:13";"Sonhando Eu Sou Feliz";"Carvalho, Beth";"no existe en el disco (CD 03)"
"RONDA DE CELEBRACIÓN";"03:20";"Hallelujah - Messiah, HWV 56 - Part II/42";"Haendel, Georg Friedrich (1685-1759)";"en el disco 03:20 hay otra canción: Aleluya"
"RONDA FINAL";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"no existe en el disco (CD 21)"
"MARCHA SINÉRGICA";"06:06";"The Man I Love";"Antigua Jazz Band";"en el disco 06:06 hay otra canción: El hombre que yo amo"
"MARCHA FISIÓLOGICA";"06:06";"The Man I Love";"Antigua Jazz Band";"en el disco 06:06 hay otra canción: El hombre que yo amo"
"CAMINAR EXALTANDO LA PROPIA PRESENCIA (Llamado también “Iluminación de la propia presencia” o también “Marcha con majestuosidad”)";"19:13";"Les Voici, les voici, voici la quadrille! (March of the Toreadors) - Carmen - Acte 3 - 2ème tableau";"Bizet, Georges (1838-1875)";"no existe en el disco (CD 19)"
"MARCHA  SENSUAL (sinuosa)";"19:14";"This Girl's In Love With You";"Fitzgerald, Ella";"en el disco 19:14 hay otra canción: Call off the search"
"JUEGOS DE VITALIDAD Y DE SAMBA EN GRUPO";"05:07";"O Encanto do Gantois";"Carvalho, Beth";"en el disco 05:07 hay otra canción: Eu vou"
"AHORA O NUNCA";"05:19";"Rodopiou";"Pereira, Nazaré";"en el disco 05:19 hay otra canción: Forró Veloce"
"COORDINACIÓN RÍTMICA EN PARES (llamado también “Caminar en pares”)";"06:06";"The Man I Love";"Antigua Jazz Band";"en el disco 06:06 hay otra canción: El hombre que yo amo"
"SINCRONIZACIÓN RÍTMICA EN PARES";"20:09";"All Of Me (live)";"Fygi, Laura";"en el disco 20:09 hay otra canción: Zorba’s dance"
"DANZA EN PARES CON RITMOS TROPICALES";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"no existe en el disco (CD 21)"
"DANZA EN PARES CON RITMOS TROPICALES";"05:12";"O Baile de Bio Laurinda";"Sivuca";"en el disco 05:12 hay otra canción: Fava de cheiro"
"DANZA EN PARES CON RITMOS TROPICALES";"05:19";"Rodopiou";"Pereira, Nazaré";"en el disco 05:19 hay otra canción: Forró Veloce"
"DANZA EN PARES CON RITMOS TROPICALES";"05:08";"Valente Nordeste";"Pereira, Nazaré";"en el disco 05:08 hay otra canción: Forro Medio"
"LIBERACIÓN DEL MOVIMIENTO";"20:11";"Koro";"?";"en el disco 20:11 hay otra canción: Dream a little dream"
"LIBERACIÓN DEL MOVIMIENTO";"06:06";"The Man I Love";"Antigua Jazz Band";"en el disco 06:06 hay otra canción: El hombre que yo amo"
"DANZA RÍTMICA";"21:03";"Charleston";"Light, Enoch & The Light Brigade";"no existe en el disco (CD 21)"
"DANZA RÍTMICA";"21:12";"Danse de Zorba";"?";"no existe en el disco (CD 21)"
"DANZA RÍTMICA";"21:17";"Zorba's Dance (OST)";"Theodorakis, Mikis (Μίκης Θεοδωράκης)";"no existe en el disco (CD 21)"
"SALTO SINÉRGICO";"19:02";"Down In Belgorod";"Winter, Paul";"en el disco 19:02 hay otra canción: Yellow submarine"
"VARIACIONES  RÍTMICAS";"19:01";"Présence";"Guem";"en el disco 19:01 hay otra canción: Ay Fond Kiss"
"DANZA  CREATIVA";"21:05";"Dialogue du vent et de la mer - La mer, trois esquisses symphoniques - 3";"Debussy, Claude (1862-1918)";"no existe en el disco (CD 21)"
"DANZA  CREATIVA";"19:03";"I Just Wanna Make Love To You";"Hines, Earl";"en el disco 19:03 hay otra canción: All together now"
"DANZA  CREATIVA";"19:12";"Sundance";"Kitaro (喜多郎)";"en el disco 19:12 hay otra canción: Corcovado"
"DANZA EN EL CENTRO DE LA RONDA";"05:12";"O Baile de Bio Laurinda";"Sivuca";"en el disco 05:12 hay otra canción: Fava de cheiro"
